Date,Open,High,Low,Close,UpperBand,LowerBand,MiddleBand
1707253200000,107.86,109.05,107.1,108.54,118.41764139901149090909090909,95.47417678280669090909090909,106.94590909090909090909090909
1707254100000,108.61,109.09,105.65,106.54,116.53326265915465272727272727,96.21219188629989272727272727,106.37272727272727272727272727
1707255000000,106.63,106.81,103.1,104.58,115.40600490158410,96.41399509841590,105.91
1707255900000,104.58,106.29,103.51,104.95,114.08603736842280363636363636,96.82123535884992363636363636,105.45363636363636363636363636
1707256800000,105.02,105.02,101.47,103.03,113.00786143782340181818181818,96.98577492581296181818181818,104.99681818181818181818181818
1707257700000,102.98,103.59,102.03,102.79,112.21840057709869454545454545,97.02069033199221454545454545,104.61954545454545454545454545
1707258600000,102.76,104.74,101.67,103.68,111.34668114990896363636363636,97.22059157736376363636363636,104.28363636363636363636363636
1707259500000,103.61,106.9,102.72,105.11,110.43771928272828181818181818,97.58591708090808181818181818,104.01181818181818181818181818
1707260400000,105.18,106.02,102.79,103.2,109.55058960842773272727272727,97.84486493702681272727272727,103.69772727272727272727272727
1707261300000,103.23,104.53,102.75,103.78,109.21703877916268909090909091,97.88114303901912909090909091,103.54909090909090909090909091
1707262200000,103.84,105.48,103.52,105.14,109.21800196170449454545454545,97.88108894738641454545454545,103.54954545454545454545454545
1707263100000,105.06,105.36,103.82,105.36,109.33554860069061636363636364,98.18717867203665636363636364,103.76136363636363636363636364
1707264000000,105.33,108.84,103.6,106.7,109.60622936488119636363636364,98.39649790784607636363636364,104.00136363636363636363636364
1707264900000,106.8,107.53,106.29,107.04,109.91068391258995636363636364,98.49204336013731636363636364,104.20136363636363636363636364
1707265800000,107.05,107.13,104.33,105.24,109.94276420814586363636363636,98.84450851912686363636363636,104.39363636363636363636363636
1707266700000,105.19,105.77,104.99,105.33,109.74244888503095818181818182,99.60391475133267818181818182,104.67318181818181818181818182
1707267600000,105.34,107.93,104.67,107.65,109.53956900065225636363636364,100.63315827207501636363636364,105.08636363636363636363636364
1707268500000,107.67,109.7,107.04,108.81,109.44562753635623090909090909,101.59619064546195090909090909,105.52090909090909090909090909
1707269400000,108.82,113.0,108.31,112.03,110.39548486560332181818181818,101.59815149803304181818181818,105.99681818181818181818181818
1707270300000,111.96,112.8,110.03,112.5,111.43177136722379090909090909,101.10004681459439090909090909,106.26590909090909090909090909
1707271200000,112.57,114.82,111.52,111.9,112.09497846038244,100.80502153961756,106.45
1707272100000,111.98,114.07,110.85,112.05,112.71646083922028909090909091,100.55172097896152909090909091,106.63409090909090909090909091
1707273000000,112.02,114.28,110.7,113.81,113.61661262976838363636363636,100.13066009750434363636363636,106.87363636363636363636363636
1707273900000,113.81,116.64,112.91,116.06,115.05503987628193636363636364,99.55768739644533636363636364,107.30636363636363636363636364
1707274800000,116.15,117.78,115.4,116.03,116.27925706893804181818181818,99.37437929469832181818181818,107.82681818181818181818181818
1707275700000,116.1,118.11,115.64,117.64,117.68355710282480363636363636,99.12371562444792363636363636,108.40363636363636363636363636
1707276600000,117.6,117.6,115.07,116.02,118.48194086017122909090909091,99.50624095801058909090909091,108.99409090909090909090909091
1707277500000,116.0,117.24,115.48,116.85,119.25649704048273818181818182,100.00986659588089818181818182,109.63318181818181818181818182
